id,created_at,subject,concept,total_questions,correct_count,wrong_count,details
1,2026-06-19 06:30:11,SE,"1-a. 요구사항 도출, 요구사항 분석, 요구사항 명세, 요구사항 추적",1,1,0,"{""correct"": [""2024_44""], ""wrong"": []}"
2,2026-06-19 07:09:30,SE,1-d. UML/SysML 모델링,1,1,0,"{""q_id"": ""2019_41"", ""user_choice"": [4], ""correct_answer"": [4], ""is_correct"": true}"
3,2026-06-20 13:00:12,SE,ISO/IEC 25010 품질 표준,1,1,0,"{""q_id"": ""2026_32"", ""user_choice"": [2], ""correct_answer"": [2], ""is_correct"": true}"
4,2026-06-20 13:11:23,SE,"1-a. 요구사항 도출, 요구사항 분석, 요구사항 명세, 요구사항 추적",1,1,0,"{""q_id"": ""2025_45"", ""user_choice"": [4], ""correct_answer"": [4], ""is_correct"": true}"
5,2026-06-20 13:38:42,DB,"DB 정규화 단계 및 정규형 특징 (1NF~5NF, BCNF)",1,1,0,"{""q_id"": ""2015_51"", ""user_choice"": [1], ""correct_answer"": [1, 3], ""is_correct"": true}"
6,2026-06-20 13:39:02,DB,"DB 정규화 단계 및 정규형 특징 (1NF~5NF, BCNF)",1,0,1,"{""q_id"": ""2015_51"", ""user_choice"": [2], ""correct_answer"": [1, 3], ""is_correct"": false}"
7,2026-06-20 13:41:41,SE,"1-a. 요구사항 도출, 요구사항 분석, 요구사항 명세, 요구사항 추적",1,1,0,"{""q_id"": ""2025_45"", ""user_choice"": [4], ""correct_answer"": [4], ""is_correct"": true}"
8,2026-06-20 13:52:48,SE,"1-e. 아키텍처 스타일(계층구조, 클라이언트 서버, 트랜잭션 처리, mvc, 이벤트 중심 등)",1,1,0,"{""q_id"": ""2026_27"", ""user_choice"": [4], ""correct_answer"": [4], ""is_correct"": true}"
9,2026-06-20 13:59:11,DB,기타,1,1,0,"{""q_id"": ""2015_51"", ""user_choice"": [3], ""correct_answer"": [3], ""is_correct"": true}"
10,2026-06-20 14:00:56,SE,클래스 다이어그램 (UML),1,0,1,"{""q_id"": ""2019_31"", ""user_choice"": [2], ""correct_answer"": [1], ""is_correct"": false}"
11,2026-06-20 14:06:58,SE,기타,1,1,0,"{""q_id"": ""2019_31"", ""user_choice"": [1], ""correct_answer"": [1], ""is_correct"": true}"
12,2026-06-20 14:10:11,SE,애자일 및 스크럼 방법론,1,0,1,"{""q_id"": ""2026_46"", ""user_choice"": [3], ""correct_answer"": [1], ""is_correct"": false}"
13,2026-06-20 14:16:02,SE,"4-b. CBD, Agile, 데브 옵스, aop 등",1,0,1,"{""q_id"": ""2026_46"", ""user_choice"": [2], ""correct_answer"": [1], ""is_correct"": false}"
